Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-01-19 12:12:14,false,"Auburn Running","6.75","804","01:46:25","165","185","4.4","135","245","15:46","9:55","1,034","1,016","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","59.0","0:00","No","10:23.19.3","7","82.4","01:39:37","01:50:07","505","1,379"
Running,2023-01-16 14:53:02,false,"Auburn Running","5.14","462","01:18:06","137","163","2.9","139","249","15:12","7:37","485","137","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","60.8","0:00","No","02:30.45.7","6","87.8","01:14:04","01:18:06","1,299","1,376"
Treadmill Running,2023-01-15 19:08:16,false,"Treadmill Running","15.00","1,222","03:07:52","154","172","4.6","154","233","12:31","10:18","--","--","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","77.0","0:00","No","00:02.57.2","16","84.2","03:03:24","03:07:52","--","--"
Treadmill Running,2023-01-13 18:29:00,false,"Treadmill Running","10.01","882","02:01:37","153","171","4.3","156","248","12:09","8:06","--","--","0.85","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","78.8","0:00","No","00:24.12.9","11","84.2","01:59:05","02:05:49","--","--"
Treadmill Running,2023-01-11 18:25:48,false,"Treadmill Running","4.12","369","00:50:46","147","173","3.4","154","166","12:19","10:46","--","--","0.85","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","78.8","0:00","No","02:38.85.4","5","84.2","00:50:38","00:52:37","--","--"
Running,2023-01-07 08:01:09,true,"Auburn Trail Running","22.97","2,553","06:34:08","164","194","5.0","132","248","17:10","9:08","4,230","4,220","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","59.0","0:00","No","13:04.12.7","23","80.6","06:13:18","06:34:08","581","1,625"
Running,2023-01-02 14:50:18,false,"Auburn Running","10.01","912","02:20:36","153","174","3.9","151","177","14:03","8:59","586","502","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","53.6","0:00","No","00:05.83.4","11","84.2","02:13:23","02:20:36","1,250","1,390"
Running,2022-12-25 15:45:45,false,"Folsom Running","4.93","442","01:09:52","136","162","3.1","145","176","14:10","9:57","301","257","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","12:36.73.2","5","87.8","01:07:20","01:09:52","225","302"
Running,2022-12-22 09:40:16,false,"Auburn Running","6.29","575","01:20:13","160","178","3.5","158","239","12:45","10:16","242","226","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","59.0","0:00","No","04:10.31.3","7","84.2","01:20:12","01:20:13","1,300","1,369"
Treadmill Running,2022-12-20 20:58:29,false,"Treadmill Running","5.01","436","01:01:30","147","168","3.4","154","167","12:17","10:36","--","--","0.85","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","77.0","0:00","No","00:05.42.8","6","84.2","01:00:02","01:01:30","--","--"
Treadmill Running,2022-12-19 15:45:25,false,"Treadmill Running","5.85","565","01:14:55","153","172","3.9","155","180","12:49","10:41","--","--","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","78.8","0:00","No","11:22.97.1","6","84.2","01:13:08","01:14:55","--","--"
Walking,2022-12-18 14:10:29,false,"Auburn Walking","3.83","306","01:18:06","107","136","1.7","114","245","20:24","15:32","132","116","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","71.6","0:00","No","16:01.96.3","4","84.2","01:14:18","01:18:06","1,275","1,329"
Running,2022-12-17 09:30:34,false,"Auburn Running","1.88","203","00:27:42","155","177","2.9","141","174","14:44","9:13","391","384","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","12:53.90.3","2","82.4","00:26:36","00:27:42","1,175","1,360"
Running,2022-12-14 11:14:53,false,"Auburn Running","15.48","1,399","03:30:40","161","180","4.8","152","176","13:37","10:36","676","603","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","07:22.28.3","16","82.4","03:28:13","03:30:41","1,289","1,373"
Running,2022-12-11 13:43:45,false,"Auburn Running","4.87","437","01:04:19","152","170","3.1","156","172","13:13","10:03","139","112","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","11:26.40.1","5","82.4","01:03:49","01:04:19","1,237","1,293"
Treadmill Running,2022-12-10 18:41:32,false,"Treadmill Running","6.07","532","01:18:43","147","167","3.5","152","167","12:58","11:27","--","--","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","78.8","0:00","No","03:42.24.8","7","86.0","01:14:33","01:18:43","--","--"
Running,2022-12-09 12:11:06,false,"Auburn Running","2.37","207","00:29:18","145","166","2.8","161","176","12:22","9:43","135","60","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","04:44.59.2","3","80.6","00:29:17","00:29:18","1,319","1,381"
Running,2022-12-08 09:33:49,false,"Auburn Running","9.73","882","02:04:05","160","179","4.1","160","200","12:45","10:05","301","276","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","09:11.99.2","10","82.4","02:03:52","02:04:05","1,224","1,306"
Running,2022-12-05 15:12:28,false,"Auburn Running","5.09","467","01:08:16","152","172","3.2","150","227","13:25","8:26","150","139","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","64.4","0:00","No","01:30.64.6","6","84.2","01:07:07","01:08:16","1,316","1,383"
Running,2022-12-03 09:45:38,false,"Auburn Running","6.19","561","01:19:24","160","179","3.5","156","171","12:50","10:12","166","143","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","60.8","0:00","No","03:02.32.4","7","82.4","01:19:00","01:19:24","1,314","1,379"
Running,2022-11-28 09:41:11,false,"Auburn Running","13.15","1,156","03:00:22","156","178","4.1","154","226","13:43","11:14","431","418","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","62.6","0:00","No","06:12.75","14","84.2","03:00:03","03:00:22","1,291","1,361"
